Time,Elapsed_Time,Event
2017-03-07-13:36:00,0:00:00,Background
2017-03-07-13:37:59,0:02:00,Straight Stream Fixed Start Hall
2017-03-07-13:39:59,0:04:00,Straight Stream WCW Start Hall
2017-03-07-13:41:00,0:05:00,Narrow Fog Fixed Start Hall
2017-03-07-13:42:00,0:06:00,Narrow Fog 'O' Start Hall
2017-03-07-13:43:00,0:07:00,No Action
2017-03-07-13:44:00,0:08:00,Straight Stream Fixed Mid Hall
2017-03-07-13:45:00,0:09:00,Straight Stream WCW Mid Hall
2017-03-07-13:46:01,0:10:00,Narrow Fog Fixed Mid Hall
2017-03-07-13:47:01,0:11:00,Narrow Fog 'O' Mid Hall
2017-03-07-13:48:01,0:12:00,No Action
2017-03-07-13:50:01,0:14:00,Straight Stream Fixed End Hall
2017-03-07-13:51:01,0:15:00,Straight Stream WCW End Hall
2017-03-07-13:52:01,0:16:00,Narrow Fog Fixed End Hall
2017-03-07-13:53:02,0:17:00,Narrow Fog Fixed End Hall
2017-03-07-13:54:24,0:18:22,Narrow Fog 'O' End Hall
2017-03-07-13:55:24,0:19:22,No Action
2017-03-07-13:56:24,0:20:22,End Experiment
