Location,Experiment_1_Data,Experiment_2_Data,Experiment_3_Data,Experiment_4_Data,Experiment_5_Data,Experiment_6_Data,Type
Bedroom_1_Temps,789.6650000000003,937.6166666666668,743.1156249999999,659.1000000000001,855.3250000000002,874.3421875,Temperature
Bedroom_2_Temps,276.2675,272.8875,268.325,266.8685483870967,277.39112903225805,268.090625,Temperature
Bedroom_3_Temps,248.035,93.87416666666665,88.49999999999997,92.03387096774192,88.10403225806449,86.5,Temperature
Bedroom_4_Temps,206.7591666666667,223.43499999999997,223.10781249999997,225.90564516129032,220.82338709677418,224.9,Temperature
End_Hall_Temps,473.29714285714294,545.9447619047618,472.33125,432.3548387096774,530.4165898617512,462.53620344821434,Temperature
Living_Room_Left_Temps,215.90571428571425,232.50238095238097,236.85625000000002,237.72165898617513,231.47511520737328,230.87857142857143,Temperature
Living_Room_Right_Temps,240.28238095238103,264.18000000000006,258.95089285714283,257.4834101382488,252.24838709677425,254.88928571428568,Temperature
Middle_Hall_Temps,283.3604761904761,324.15761904761905,311.58571428571423,295.6225806451613,323.3423963133641,317.2544642857143,Temperature
Start_Hall_Temps,268.32761904761907,315.7571428571428,303.54910714285717,301.3903225806451,300.62580645161296,309.85446428571436,Temperature
Victim_1_Temps,361.6466666666666,418.4266666666668,372.43437499999993,363.07016129032263,403.70000000000005,388.74843749999997,Temperature
Victim_2_Temps,259.7858333333333,98.77166666666666,92.2015625,96.08306451612904,91.60161290322583,88.428125,Temperature
Victim_3_Temps,209.805,245.18999999999997,246.92031249999997,245.7774193548387,245.92177419354837,249.19062499999998,Temperature
Victim_4_Temps,233.4633333333333,254.2241666666667,260.3078125,258.0064516129033,255.73709677419356,260.2640625,Temperature
Victim_5_Temps,213.53166666666664,231.76583333333335,237.65781249999998,240.00967741935486,223.64435483870966,231.190625,Temperature
